"sample_id","figure_3"
"12_PCc_100_Ma_1","3A"
"12_PCc_100_Ma_2","3A"
"12_PCc_100_Ma_3","3A"
"12_PCc_100_Ma_4","3A"
"12_PCc_100_Qi_1","3A"
"12_PCc_100_Qi_2","3A"
"12_PCc_100_Qi_3","3A"
"12_PCc_100_Qi_4","3A"
"12_PCc_400_Ma_1","3A"
"12_PCc_400_Ma_2","3A"
"12_PCc_400_Ma_3","3A"
"12_PCc_400_Ma_4","3A"
"12_PCc_400_Qi_1","3A"
"12_PCc_400_Qi_2","3A"
"12_PCc_400_Qi_3","3A"
"12_PCc_400_Qi_R_4","3A"
"5_A2_Ma_1","3B"
"5_A3_Ma_1","3B"
"5_A3_Ma_2","3B"
"5_A4_Ma_1","3B"
"5_A4_Ma_2","3B"
"5_A5_Ma_1","3B"
"5_A5_Ma_2","3B"
"5_A6_Ma_1","3B"
"5_A6_Ma_2","3B"
"5_NC_Ma_1","3B"
"5_A2_Qi_1","3B"
"5_A3_Qi_1","3B"
"5_A3_Qi_2","3B"
"5_A4_Qi_1","3B"
"5_A4_Qi_2","3B"
"5_A5_Qi_1","3B"
"5_A5_Qi_2","3B"
"5_A6_Qi_1","3B"
"5_A6_Qi_2","3B"
"5_NC_Qi_1","3B"
"8_A2_Ma_1","3B"
"8_A3_Ma_1","3B"
"8_A3_Ma_2","3B"
"8_A4_Ma_1","3B"
"8_A4_Ma_2","3B"
"8_A5_Ma_1","3B"
"8_A5_Ma_2","3B"
"8_A6_Ma_1","3B"
"8_A6_Ma_2","3B"
"8_A2_Qi_1","3B"
"8_A3_Qi_1","3B"
"8_A3_Qi_2","3B"
"8_A4_Qi_1","3B"
"8_A4_Qi_2","3B"
"8_A5_Qi_1","3B"
"8_A5_Qi_2","3B"
"8_A6_Qi_1","3B"
"8_A6_Qi_2","3B"
"8_NC_Qi_1","3B"
"NTC_005","3B"
"NTC_006","3B"
"NTC_007","3B"
"NTC_008","3B"
"NTC_009","3B"
"NTC_010","3B"
"NTC_011","3B"
"NTC_012","3B"
"NTC_013","3B"
"NTC_014","3B"
"NTC_015","3B"
"NTC_016","3B"
