"sample_name","sample_id_PPR"
"PC4","359_PPR_PC4_S301_L002"
"NTC10","360_PPR_NTC10_S302_L002"
"NTC11","361_PPR_NTC11_S303_L002"
"NTC12","362_PPR_NTC12_S304_L002"
"PC5","455_PPR_PC5_S397_L002"
"NTC13","456_PPR_NTC13_S398_L002"
"NTC14","457_PPR_NTC14_S399_L002"
"NTC15","458_PPR_NTC15_S400_L002"
"PC6","471_PPR_PC6_S413_L002"
"NTC16","472_PPR_NTC16_S414_L002"
"NTC17","473_PPR_NTC17_S415_L002"
"NTC18","474_PPR_NTC18_S416_L002"
"PC1","093_PPR_PC1_S348_L002"
"NTC01","094_PPR_NTC01_S349_L002"
"NTC02","095_PPR_NTC02_S350_L002"
"NTC03","096_PPR_NTC03_S351_L002"
"PC2","189_PPR_PC2_S444_L002"
"NTC04","190_PPR_NTC04_S445_L002"
"NTC05","191_PPR_NTC05_S446_L002"
"NTC06","192_PPR_NTC06_S447_L002"
"MaxBlank","229_PPR_MaxBlank_S484_L002"
"MaxWaterBlank","259_PPR_MaxWaterBlank_S514_L002"
"PC3","263_PPR_PC3_S518_L002"
"NTC07","264_PPR_NTC07_S519_L002"
"NTC08","265_PPR_NTC08_S520_L002"
"NTC09","266_PPR_NTC09_S521_L002"
"zymo_pc4","1790XT_162_zymo_pc4_S227"
"zymo_pc5","1790XT_163_zymo_pc5_S228"
"NTC6","1790XT_164_NTC6_S229"
"NTC7","1790XT_165_NTC7_S230"
"NTC8","1790XT_166_NTC8_S231"
"NTC9","1790XT_167_NTC9_S232"
"2_PCM_R_2_repeat","1790XT_168_2_PCM_R_2_repeat_S233"
"3_PCM_R_1_repeat","1790XT_169_3_PCM_R_1_repeat_S234"
"NTC2","1790XT_65_NTC2_S130"
"NTC3","1790XT_66_NTC3_S131"
"NTC4","1790XT_67_NTC4_S132"
"NTC5","1790XT_68_NTC5_S133"
"zymo_pc2","1790XT_69_zymo_pc2_S134"
"zymo_pc3","1790XT_70_zymo_pc3_S135"
"1790XT_NTC1","1790XT_NTC1_S107"
"1790XT_zymo_pc1","1790XT_zymo_pc1_S108"
